MatchNo,PlayerA,PlayerB,Result,MMR_A,MMR_B
12299,Player42,Player150,TEAM_A_WIN,900,930
12300,Player154,Player51,TEAM_A_WIN,860,875
12301,Player21,Player138,TEAM_B_WIN,940,925
12302,Player66,Player150,TEAM_A_WIN,890,915
12303,Player87,Player162,TEAM_B_WIN,900,920
12304,Player66,Player138,TEAM_A_WIN,910,910
12305,Player138,Player42,TEAM_A_WIN,930,885
12306,Player150,Player21,TEAM_B_WIN,900,960
12307,Player150,Player21,TEAM_A_WIN,920,945
12308,Player162,Player20,TEAM_B_WIN,905,725
12309,Player87,Player138,TEAM_A_WIN,920,915
12310,Player154,Player20,TEAM_B_WIN,845,745
12311,Player162,Player154,TEAM_A_WIN,925,830
12312,Player66,Player20,TEAM_B_WIN,895,765
12313,Player171,Player51,TEAM_A_WIN,1025,860
12314,Player66,Player162,TEAM_B_WIN,880,945
12315,Player80,Player51,TEAM_A_WIN,910,845
12316,Player171,Player154,TEAM_A_WIN,1045,815
12317,Player171,Player80,TEAM_B_WIN,1030,930
12318,Player80,Player171,TEAM_A_WIN,950,1015
12319,Player6,Player72,TEAM_B_WIN,960,995
12320,Player72,Player191,TEAM_A_WIN,1015,940
12321,Player105,Player191,TEAM_B_WIN,1030,960
12322,Player105,Player39,TEAM_A_WIN,1050,955
12323,Player105,Player92,TEAM_B_WIN,1035,1070
12324,Player14,Player105,TEAM_B_WIN,995,1055
12325,Player6,Player191,TEAM_A_WIN,980,945
12326,Player14,Player92,TEAM_A_WIN,1015,1055
12327,Player168,Player113,TEAM_B_WIN,960,925
12328,Player39,Player168,TEAM_A_WIN,975,945
12329,Player78,Player14,TEAM_B_WIN,960,1035
12330,Player6,Player15,TEAM_B_WIN,965,1020
12331,Player168,Player113,TEAM_A_WIN,965,910
12332,Player113,Player54,TEAM_B_WIN,895,920
12333,Player72,Player6,TEAM_B_WIN,1000,985
12334,Player92,Player15,TEAM_A_WIN,1075,1005
12335,Player92,Player15,TEAM_A_WIN,1095,990
12336,Player54,Player72,TEAM_B_WIN,905,1020
12337,Player54,Player191,TEAM_B_WIN,890,965
12338,Player168,Player54,TEAM_B_WIN,950,910
12339,Player113,Player78,TEAM_B_WIN,880,980
12340,Player15,Player14,TEAM_B_WIN,975,1055
